core_0_pkg core_0_ram core_6_pkg core_6_ram nvd_0 nvd_1
0.000017 0.000001 0.000025 0.000001 48.032000 47.638000
22.704914 1.091317 19.652808 1.106364 48.032000 47.734000
26.459222 1.063071 18.785992 1.098926 48.032000 47.731000
29.051905 1.003515 18.973023 1.101177 48.032000 47.731000
29.064738 0.969201 19.447552 1.108168 48.032000 47.734000
27.561284 1.018943 18.772610 1.097932 48.032000 47.734000
23.434925 1.086892 21.138561 1.104225 48.032000 47.731000
17.470764 1.111816 25.625427 1.097534 48.032000 47.734000
17.437770 1.073042 27.385487 1.067396 48.032000 47.731000
17.445509 1.071814 27.608879 1.060308 48.032000 47.734000
21.172779 1.089909 27.656261 1.056490 48.032000 47.718000
26.363831 1.081696 27.294189 1.038055 48.032000 47.718000
27.924988 1.079193 27.037506 1.037781 48.032000 47.731000
27.851094 1.098881 26.650467 1.088688 48.032000 47.718000
29.188845 1.087126 23.522322 1.085691 48.032000 47.731000
29.759434 1.072076 26.746818 1.084222 48.032000 47.718000
30.639038 1.060665 30.486084 1.061275 48.018000 47.703000
27.732932 1.099228 30.435912 1.101181 48.032000 47.718000
27.744202 1.100220 30.469910 1.099121 48.032000 47.718000
27.673731 1.108095 30.405182 1.099337 48.032000 47.622000
27.797119 1.109589 30.464325 1.101624 48.032000 47.718000
27.791723 1.102110 30.462433 1.107633 17.782000 47.638000
27.711800 1.102762 30.392180 1.101510 17.020000 16.729000
27.743450 1.097682 29.243108 1.100398 16.925000 16.634000
27.811066 1.104279 28.917725 1.106567 16.925000 16.634000
28.069794 1.093994 28.865845 1.101471 16.924000 16.729000
27.748274 1.107093 28.914175 1.101539 16.924000 16.539000
27.916692 1.108915 28.912326 1.106046 16.924000 16.634000
27.817535 1.108063 28.873260 1.103851 16.924000 16.539000
28.537323 1.103485 28.897827 1.110626 16.924000 16.539000
28.082377 1.104579 28.902228 1.108058 16.924000 16.539000
27.944987 1.102121 28.821062 1.101571 16.924000 16.539000
27.985575 1.097988 28.879096 1.103877 16.924000 16.539000
28.730977 1.106971 28.903372 1.105170 16.924000 16.634000
27.869385 1.104309 28.867157 1.103485 16.924000 16.539000
28.177007 1.098203 28.906650 1.106138 16.924000 16.539000
28.464286 1.104954 28.903375 1.106145 16.829000 16.539000
28.153839 1.107361 28.860504 1.104950 16.924000 16.634000
28.034668 1.104309 28.908234 1.106201 16.924000 16.539000
27.825053 1.106868 30.177156 1.092464 16.924000 16.443000
28.429413 1.106934 25.489716 1.109283 16.834000 16.539000
27.331190 1.099452 25.523183 1.102443 16.929000 16.443000
24.285406 1.106999 25.533794 1.109990 16.929000 16.634000
24.229932 1.105985 25.530528 1.104887 16.929000 16.443000
