core_0_pkg core_0_ram core_6_pkg core_6_ram nvd_0 nvd_1
0.000017 0.000001 0.000025 0.000001 47.443000 47.333000
22.527943 1.087452 19.404268 1.104025 47.443000 47.333000
26.548860 1.057944 18.636997 1.101828 47.443000 47.333000
28.704984 1.025256 18.630493 1.100362 47.443000 47.333000
27.832722 1.102543 18.593092 1.109074 47.443000 47.333000
27.986516 1.105589 18.619592 1.102689 47.443000 47.333000
27.759516 1.104830 18.581122 1.107149 47.443000 47.333000
28.070155 1.103182 18.629798 1.109286 47.443000 47.333000
27.778021 1.109403 18.609216 1.102659 47.443000 47.333000
28.182908 1.098823 18.562703 1.104957 47.443000 47.333000
27.747503 1.098997 18.598504 1.109220 47.443000 47.333000
28.154323 1.098666 18.564948 1.104952 47.443000 47.333000
27.953461 1.108856 18.854431 1.112823 47.443000 47.333000
28.516811 1.097872 18.565253 1.102633 47.443000 47.333000
28.285522 1.106079 18.583557 1.111603 47.443000 47.333000
28.180319 1.109257 18.663161 1.104924 47.443000 47.333000
28.191202 1.103328 18.555864 1.107143 47.443000 47.333000
27.927551 1.102753 18.588684 1.104919 47.443000 47.333000
27.923676 1.105316 18.611664 1.107147 47.443000 47.333000
27.993764 1.107426 18.596266 1.107182 47.443000 47.333000
28.291752 1.101347 18.551934 1.104917 47.443000 47.333000
27.944107 1.103156 18.794821 1.108771 17.492000 47.360000
27.771099 1.105037 19.061600 1.104274 16.733000 16.629000
28.146134 1.103461 18.758047 1.104957 16.732000 16.629000
27.770946 1.103237 18.632280 1.109218 16.828000 16.438000
27.845671 1.096510 18.694621 1.111616 16.733000 16.629000
27.814816 1.094410 18.591184 1.109333 16.637000 16.538000
27.858871 1.105964 18.625112 1.109382 16.833000 16.533000
27.835979 1.102718 18.651262 1.109371 16.828000 16.438000
28.567920 1.103583 18.614888 1.111609 16.733000 16.534000
27.927073 1.098750 18.576555 1.109371 16.732000 16.534000
27.956807 1.104497 18.694624 1.109379 16.632000 16.534000
28.023351 1.103330 18.613854 1.109312 16.828000 16.534000
28.047532 1.105781 18.572530 1.104926 16.636000 16.533000
27.967601 1.103114 18.691881 1.107051 16.828000 16.539000
28.158738 1.101355 18.619252 1.109443 16.828000 16.534000
27.819144 1.105429 18.584690 1.100394 16.733000 16.533000
27.999954 1.093696 18.696798 1.111548 16.641000 16.539000
28.329106 1.096647 18.597283 1.107114 16.727000 16.539000
28.159201 1.103276 18.630873 1.111577 16.828000 16.538000
27.869939 1.098478 18.661248 1.104917 16.733000 16.539000
27.817153 1.099280 18.823874 1.109107 16.632000 16.438000
27.938238 1.103391 19.021874 1.107176 16.828000 16.534000
28.083853 1.104954 19.061142 1.104436 16.732000 16.629000
28.312810 1.100889 19.029625 1.106931 16.920000 16.438000
28.576897 1.107609 19.027939 1.109379 16.727000 16.534000
27.906698 1.102683 18.684543 1.104850 16.828000 16.533000
28.144303 1.100745 18.660695 1.109382 16.641000 16.534000
27.947327 1.107910 18.602661 1.107147 16.727000 16.629000
27.774006 1.096074 18.710677 1.111607 16.823000 16.634000
28.318948 1.101222 18.648119 1.109310 16.732000 16.629000
28.554710 1.099125 18.610243 1.107152 16.733000 16.438000
28.225041 1.105161 18.703637 1.109312 16.833000 16.725000
28.557945 1.103337 18.598249 1.100499 16.828000 16.634000
27.896062 1.096861 18.653863 1.111601 16.733000 16.629000
28.120199 1.102879 18.674269 1.100499 16.828000 16.629000
28.293365 1.105438 18.638245 1.109344 16.833000 16.533000
27.983826 1.096558 18.644440 1.111633 16.833000 16.629000
28.173532 1.098750 18.673143 1.102626 16.924000 16.533000
28.574482 1.108100 18.629567 1.111609 16.732000 16.533000
28.224130 1.096950 18.591723 1.107143 16.833000 16.443000
27.954147 1.096412 18.906272 1.102302 16.736000 16.438000
28.323556 1.103206 18.642778 1.107051 16.641000 16.534000
28.102708 1.103248 18.610677 1.102698 16.733000 16.437000
28.313416 1.102448 18.742889 1.108643 16.731000 16.539000
27.820612 1.098849 18.617255 1.107180 16.828000 16.342000
27.861466 1.100518 18.640574 1.109307 16.733000 16.533000
28.531844 1.101144 18.685941 1.102670 16.727000 16.534000
27.750580 1.098724 18.663818 1.104919 16.727000 16.539000
27.760207 1.105445 18.664510 1.104896 16.733000 16.534000
28.279127 1.105432 18.686930 1.107141 16.738000 16.534000
27.996689 1.094367 18.658651 1.102668 16.727000 16.533000
27.894806 1.107910 18.627777 1.093781 16.637000 16.438000
27.941726 1.102851 18.734426 1.107123 16.637000 16.438000
27.692405 1.098868 18.656375 1.104880 16.828000 16.534000
28.587513 1.093665 18.632131 1.107123 16.828000 16.443000
28.075968 1.094539 18.728502 1.109310 16.823000 16.534000
28.063004 1.096137 18.615560 1.100501 16.828000 16.533000
27.921331 1.093595 18.659692 1.106931 16.828000 16.443000
28.178366 1.103276 18.728011 1.107152 16.833000 16.443000
27.939514 1.099091 18.620026 1.109344 16.731000 16.538000
27.749262 1.100924 18.817115 1.104678 16.828000 16.437000
28.323242 1.102936 19.105774 1.117584 16.823000 16.533000
27.976710 1.101107 18.999641 1.107180 16.828000 16.538000
27.882854 1.107631 19.057907 1.102504 16.828000 16.534000
25.664499 1.106657 18.715050 1.113767 16.833000 16.538000
24.492914 1.104590 18.608907 1.104957 16.738000 16.443000
28.105311 1.107546 18.651130 1.111544 16.736000 16.534000
28.289377 1.103084 18.712297 1.109340 16.924000 16.534000
25.235361 1.102883 19.571692 1.102608 16.833000 16.539000
17.463422 1.106650 24.348865 1.113028 16.929000 16.443000
17.645825 1.107778 28.579585 1.100789 16.833000 16.539000
20.663050 1.074816 22.761442 1.083636 49.380000 16.437000
24.507659 1.035482 25.372671 1.103627 49.642000 16.433000
24.138750 1.041928 25.480765 1.105894 50.036000 16.529000
28.368906 1.017924 18.714939 1.096111 49.763000 16.624000
17.493708 1.073744 23.867843 1.047469 48.428000 16.624000
24.084203 1.070195 18.756056 1.090825 63.490000 16.529000
23.967952 1.089565 18.740404 1.080348 52.250000 16.433000
21.596885 1.076191 20.375275 1.072895 141.378000 16.520000
23.797716 1.095339 18.859596 1.060702 110.375000 16.424000
22.856812 1.101746 19.159821 1.072815 142.617000 16.519000
23.814484 1.100281 18.765350 1.051788 111.709000 16.424000
22.723725 1.103999 19.131881 1.073116 139.311000 16.519000
24.449323 1.105183 18.826785 1.061115 112.568000 16.519000
25.476704 1.096357 19.019868 1.075727 138.836000 16.519000
24.056754 1.106971 18.831534 1.060187 113.617000 16.424000
