core-0-pkg core-0-ram core-6-pkg core-6-ram nvd-0 nvd-1
0.000018 0.000001 0.000025 0.000001 48.015000 47.348000
22.821256 1.090899 19.490360 1.103595 48.015000 47.348000
27.038846 1.044975 18.760989 1.097953 48.015000 47.333000
28.437189 1.030490 18.782248 1.098576 48.015000 47.333000
27.785750 1.100409 18.728475 1.109260 48.029000 47.333000
27.682970 1.102929 18.753397 1.111596 48.015000 47.333000
27.844971 1.102997 18.724854 1.093750 48.015000 47.333000
28.064392 1.103455 18.760590 1.111633 48.015000 47.348000
27.772206 1.092381 18.757430 1.107152 48.015000 47.333000
17.326762 1.102418 23.848657 1.106691 48.032000 47.348000
17.326150 1.086888 27.300341 1.105931 48.015000 47.348000
17.318896 1.104913 28.790416 1.103845 48.015000 47.348000
17.334729 1.098243 28.732411 1.106025 48.029000 47.333000
17.310063 1.106600 28.780728 1.105929 48.015000 47.348000
17.322235 1.100433 28.799500 1.103912 48.015000 47.348000
17.319945 1.100479 28.734869 1.097061 48.029000 47.335000
17.331818 1.104095 28.908691 1.107544 48.029000 47.348000
17.366696 1.100385 28.804166 1.108442 48.015000 47.348000
17.327535 1.102703 28.806227 1.106121 48.029000 47.333000
17.359240 1.102593 28.753398 1.103631 48.015000 47.335000
17.289964 1.093820 28.813432 1.101602 48.015000 47.348000
17.388628 1.098062 28.749009 1.101266 17.681000 47.351000
17.287254 1.102535 28.808479 1.105922 17.020000 16.634000
17.370314 1.100486 28.791945 1.105796 16.924000 16.539000
17.305298 1.100494 28.731720 1.099182 16.924000 16.539000
17.376722 1.107154 28.801198 1.096686 16.829000 16.539000
17.328817 1.093730 28.830244 1.108196 16.829000 16.539000
17.360323 1.100036 28.812365 1.107604 16.924000 16.539000
17.306216 1.100451 28.758791 1.106036 16.924000 16.634000
17.392752 1.099865 28.827742 1.103405 16.929000 16.539000
17.353101 1.102607 28.831991 1.110480 16.924000 16.539000
17.336248 1.098192 28.765219 1.099199 16.924000 16.539000
17.321254 1.107084 28.839847 1.096647 16.924000 16.634000
17.376895 1.100481 28.851963 1.101641 16.924000 16.539000
17.349711 1.091542 28.781176 1.099080 16.829000 16.539000
17.356567 1.107086 28.858276 1.096497 16.924000 16.443000
17.302132 1.100316 28.885858 1.101475 16.924000 16.539000
17.359858 1.107161 28.803355 1.097151 16.832000 16.539000
17.448207 1.104566 28.857082 1.100660 16.924000 16.443000
17.619930 1.104915 28.854269 1.104091 16.929000 16.443000
17.438886 1.102118 28.770088 1.094367 16.924000 16.539000
17.617378 1.109454 28.851688 1.103686 16.924000 16.539000
17.426522 1.106938 28.845666 1.099187 16.834000 16.443000
17.368927 1.098114 29.477844 1.102875 16.929000 16.443000
17.328422 1.102657 29.184332 1.110683 16.929000 16.539000
17.529555 1.102546 29.181114 1.109595 16.929000 16.443000
17.321356 1.106554 29.123643 1.108110 16.834000 16.443000
17.712227 1.109376 29.185479 1.110901 16.924000 16.539000
17.433315 1.102598 29.125927 1.110257 16.924000 16.539000
17.364838 1.096008 29.184052 1.103729 16.924000 16.539000
17.240562 1.091457 29.173193 1.110042 16.924000 16.634000
17.305461 1.104819 26.248694 1.104972 16.929000 16.539000
17.412995 1.102096 25.807195 1.110214 16.929000 16.634000
17.368217 1.093715 30.364808 1.103908 16.924000 16.634000
17.283946 1.102622 30.321621 1.103385 16.924000 16.634000
17.652967 1.102345 30.415556 1.102956 16.924000 16.634000
17.333678 1.097928 30.444491 1.103849 16.924000 16.443000
