1 GPU,CPU,1 GPU Dist,2 GPU Dist,2 GPU Dist bs=64
27.94%,28.05%,28.83%,11.00%,26%
19.06%,21.67%,21.83%,22.11%,19%
23.89%,27.50%,26.61%,19.22%,29%
33.00%,29.17%,35.00%,23.06%,33%
33.56%,41.11%,33.11%,26.78%,32%
32.56%,38.33%,41.28%,32.17%,42%
45.61%,47.22%,42.67%,31.50%,41%
42.61%,38.61%,43.78%,37.61%,43%
48.89%,51.94%,46.83%,33.78%,48%
49.00%,42.50%,50.11%,39.39%,51%
49.11%,54.44%,50.83%,40.56%,48%
51.11%,51.11%,49.50%,42.39%,51%
55.00%,55.28%,53.39%,44.89%,53%
55.78%,55.00%,52.06%,44.06%,50%
56.00%,54.17%,56.17%,44.33%,55%
54.78%,56.66%,53.17%,43.28%,53%
57.94%,56.39%,57.39%,48.06%,55%
57.50%,62.50%,59.06%,50.78%,55%
60.00%,63.06%,58.89%,48.39%,60%
60.67%,66.11%,61.33%,48.06%,59%
60.78%,63.33%,60.00%,49.06%,62%
61.00%,61.95%,57.61%,52.28%,57%
59.61%,62.50%,62.72%,52.28%,61%
60.61%,63.61%,63.22%,55.94%,62%
62.11%,60.56%,60.56%,50.61%,66%
64.39%,62.22%,64.61%,51.39%,66%
65.94%,60.55%,68.00%,53.72%,68%
64.17%,65.55%,64.78%,55.28%,67%
64.83%,66.94%,65.44%,53.44%,64%
68.33%,69.72%,66.22%,54.06%,64%
64.28%,64.44%,67.22%,55.00%,68%
65.50%,69.17%,64.39%,54.44%,67%
66.28%,72.22%,70.28%,55.50%,70%
64.67%,67.78%,68.17%,55.39%,61%
70.56%,73.89%,68.67%,53.50%,67%
69.00%,67.22%,71.17%,55.61%,70%
72.39%,69.72%,70.89%,56.83%,70%
70.94%,72.22%,69.22%,56.89%,69%
71.89%,69.17%,69.83%,59.00%,75%
71.33%,69.17%,70.56%,56.00%,73%
70.61%,78.06%,76.00%,56.83%,71%
74.00%,65.00%,72.39%,59.56%,73%
75.00%,76.39%,76.06%,60.89%,76%
74.56%,75.55%,76.72%,59.83%,78%
74.50%,68.89%,74.94%,60.28%,76%
76.50%,75.00%,75.11%,62.06%,75%
76.89%,71.11%,79.67%,63.83%,79%
74.06%,77.50%,75.06%,61.28%,79%
79.11%,80.56%,77.72%,58.67%,80%
78.39%,80.28%,77.11%,62.06%,79%
79.28%,80.28%,80.33%,65.00%,77%
75.39%,81.11%,78.06%,61.22%,65%
77.28%,80.56%,79.94%,65.39%,79%
80.06%,60.56%,76.39%,64.67%,80%
80.28%,79.72%,75.78%,64.61%,79%
81.22%,80.00%,80.00%,63.72%,79%
77.39%,81.11%,75.11%,64.22%,80%
80.11%,79.72%,77.72%,62.11%,79%
79.89%,80.28%,80.11%,65.17%,79%
78.89%,80.56%,80.22%,63.61%,80%
79.11%,80.28%,79.83%,64.44%,80%
78.78%,79.45%,80.56%,64.72%,80%
80.33%,81.39%,80.33%,65.89%,79%
79.89%,80.56%,80.28%,67.11%,76%
80.33%,80.28%,79.78%,66.56%,79%
80.22%,80.84%,80.56%,66.33%,78%
79.17%,80.00%,80.67%,67.00%,79%
80.28%,79.44%,80.11%,65.83%,79%
80.39%,80.56%,80.11%,66.17%,79%
79.94%,80.28%,80.50%,70.17%,79%
76.94%,80.56%,80.28%,66.22%,80%
79.89%,80.28%,80.44%,65.89%,78%
80.44%,81.11%,80.50%,70.11%,80%
80.56%,79.72%,80.39%,66.89%,79%
80.11%,80.00%,80.39%,69.06%,80%
80.17%,80.28%,79.89%,70.33%,79%
80.22%,80.83%,79.28%,67.39%,79%
80.28%,80.00%,80.11%,66.50%,80%
80.67%,81.39%,80.28%,69.61%,79%
80.28%,79.72%,80.06%,68.61%,80%
80.72%,80.83%,79.89%,72.00%,79%
80.28%,81.67%,79.83%,68.72%,79%
80.22%,80.83%,79.78%,73.44%,79%
80.17%,80.56%,80.17%,71.44%,79%
80.61%,81.39%,80.17%,71.11%,80%
80.28%,80.83%,80.06%,72.17%,79%
80.50%,80.83%,80.11%,70.67%,80%
80.22%,81.39%,80.11%,74.89%,80%
79.89%,80.00%,79.83%,74.39%,79%
78.94%,81.11%,79.94%,71.17%,79%
79.94%,80.28%,79.67%,72.94%,79%
80.72%,80.28%,79.72%,73.50%,79%
80.50%,80.28%,79.89%,68.33%,79%
80.44%,81.11%,80.50%,74.33%,80%
80.50%,79.72%,80.17%,76.00%,79%
80.17%,80.55%,80.44%,72.83%,79%
77.28%,80.55%,80.33%,75.22%,79%
80.67%,80.00%,80.06%,67.67%,79%
80.44%,79.44%,80.39%,79.22%,79%
80.39%,79.72%,80.33%,73.22%,80%
