core_0_pkg core_0_ram core_6_pkg core_6_ram nvd_0 nvd_1
0.000017 0.000001 0.000025 0.000001 47.810000 47.320000
22.429129 1.092466 19.355782 1.103758 47.824000 47.317000
24.725084 1.068853 18.600902 1.094273 47.810000 47.317000
28.829872 1.003664 18.736104 1.102544 47.810000 47.317000
28.738715 0.958948 19.296538 1.106830 47.810000 47.317000
27.243667 1.015698 18.537094 1.109483 47.824000 47.317000
24.415747 1.101662 20.116849 1.093362 47.824000 47.320000
17.330415 1.102053 25.208642 1.096102 47.810000 47.320000
17.494408 1.082118 26.865879 1.072932 47.810000 47.320000
17.484581 1.074977 27.697564 1.060298 47.905000 47.317000
21.606842 1.039343 26.437781 1.096165 47.905000 47.317000
27.622387 0.977962 25.409597 1.098781 47.905000 47.317000
26.930556 1.069521 25.129904 1.097628 47.905000 47.317000
23.005599 1.083642 25.751616 1.101922 47.905000 47.317000
26.821153 1.073957 25.085689 1.103895 47.905000 47.317000
30.392091 1.025352 25.132886 1.100699 47.902000 47.317000
29.439789 1.069458 25.172455 1.098846 47.902000 47.317000
28.410048 1.104226 25.109881 1.105264 47.905000 47.317000
27.697937 1.104156 25.134216 1.106323 47.902000 47.317000
27.952026 1.097992 25.085083 1.102295 47.902000 47.317000
27.778168 1.097412 25.123962 1.106445 47.888000 47.317000
27.940125 1.098328 25.138245 1.100983 17.578000 47.333000
27.570068 1.099976 25.092194 1.107300 16.727000 16.529000
27.978943 1.104462 25.136536 1.100128 16.727000 16.433000
27.635828 1.106203 25.151540 1.107729 16.727000 16.433000
27.959132 1.102768 25.098008 1.098984 16.727000 16.529000
27.760323 1.109634 25.158187 1.109421 16.727000 16.433000
28.454769 1.102206 25.152394 1.103945 16.631000 16.529000
23.889000 1.106925 25.091413 1.099784 16.822000 16.433000
25.292835 1.106339 25.131333 1.104874 16.822000 16.529000
27.789007 1.104276 25.138744 1.097776 16.631000 16.529000
27.727600 1.097626 25.105133 1.104218 16.726000 16.529000
27.625464 1.094236 25.171275 1.104643 16.822000 16.529000
28.042374 1.084449 25.136412 1.106696 16.726000 16.433000
27.518701 1.105460 25.185712 1.104789 16.822000 16.433000
27.802596 1.089270 25.175658 1.106360 16.727000 16.433000
27.795868 1.099274 25.139130 1.100769 16.727000 16.433000
27.948064 1.105009 25.177592 1.107481 16.631000 16.433000
28.148376 1.100037 25.187897 1.104889 16.727000 16.337000
28.069474 1.106757 25.115141 1.104438 16.726000 16.433000
28.027837 1.104826 25.167888 1.106962 16.727000 16.529000
