core-0-pkg core-0-ram core-6-pkg core-6-ram nvd-0 nvd-1
0.000018 0.000001 0.000025 0.000001 48.032000 47.635000
22.502434 1.092154 19.611141 1.105918 48.029000 47.635000
24.673746 1.068527 18.722613 1.099198 48.015000 47.620000
28.965509 1.010838 18.761550 1.093999 48.015000 47.607000
29.054307 0.970519 19.509172 1.095699 48.015000 47.620000
27.554026 1.019082 18.725535 1.102917 48.015000 47.620000
24.194222 1.086509 20.576686 1.101523 48.029000 47.635000
17.371341 1.098132 25.517376 1.095690 48.032000 47.635000
17.413112 1.079191 27.132270 1.068479 48.029000 47.635000
17.298928 1.068394 28.050680 1.068303 48.032000 47.620000
20.764429 1.084568 28.040592 1.050264 48.015000 47.607000
26.116987 1.084065 27.656157 1.034749 48.001000 47.607000
27.961873 1.067357 27.713276 1.040043 48.001000 47.607000
27.814148 1.091827 25.166412 1.083160 48.015000 47.607000
29.165497 1.091064 22.371429 1.092072 48.015000 47.607000
29.742957 1.071860 25.168988 1.085257 48.001000 47.607000
30.466247 1.064612 28.809285 1.070716 48.001000 47.607000
29.437108 1.105708 28.778236 1.097286 48.001000 47.607000
28.845649 1.097855 28.768011 1.103623 48.001000 47.607000
27.714000 1.099452 28.738655 1.105678 47.905000 47.703000
28.104335 1.100222 28.775967 1.099367 48.001000 47.607000
27.747234 1.103633 28.798591 1.105068 17.681000 47.638000
27.709700 1.098060 28.794057 1.105872 17.020000 16.538000
27.757288 1.101748 28.741055 1.105105 16.924000 16.634000
27.807567 1.100490 28.790473 1.104122 16.924000 16.634000
27.800404 1.099949 28.796075 1.099248 16.924000 16.634000
27.865565 1.100252 28.728329 1.101473 16.829000 16.634000
28.158203 1.104797 28.790924 1.104065 16.829000 16.538000
27.808150 1.101844 28.806142 1.105994 16.829000 16.634000
27.834972 1.105068 28.746589 1.094600 16.924000 16.538000
27.867091 1.100405 28.790341 1.103915 16.829000 16.443000
27.752003 1.098088 28.782952 1.104100 16.924000 16.634000
27.877630 1.100156 28.725834 1.103544 16.924000 16.538000
28.066549 1.101842 28.786828 1.105321 16.829000 16.538000
28.004705 1.100401 28.798557 1.103819 16.924000 16.538000
27.666901 1.107239 28.735748 1.101379 16.829000 16.634000
28.112030 1.107452 28.813354 1.101593 16.924000 16.538000
27.775654 1.099400 28.778222 1.104985 16.829000 16.538000
28.077820 1.102478 28.732666 1.097382 16.924000 16.634000
27.657751 1.093290 28.934635 1.110136 16.924000 16.538000
27.766346 1.096226 28.791100 1.097020 16.924000 16.634000
27.917638 1.104612 28.739933 1.103971 16.924000 16.539000
27.837219 1.100159 28.803955 1.099091 16.924000 16.538000
28.010320 1.093229 28.790348 1.099271 16.829000 16.538000
27.807057 1.105351 28.758813 1.099309 16.924000 16.538000
28.102880 1.093137 28.825077 1.103819 16.829000 16.538000
27.813277 1.100806 28.802053 1.103827 16.829000 16.538000
27.722784 1.095945 28.814670 1.103147 16.829000 16.538000
27.911702 1.106877 28.755822 1.103703 16.924000 16.634000
27.757660 1.106384 28.818390 1.094391 16.829000 16.538000
28.070348 1.096220 28.836246 1.103849 16.924000 16.729000
27.674488 1.098057 28.772149 1.106022 16.919000 16.634000
28.027802 1.100433 28.813843 1.102966 16.924000 16.633000
27.789276 1.093079 28.902802 1.108459 16.924000 16.633000
27.862463 1.100889 30.010133 1.107237 16.924000 16.634000
27.770538 1.093842 29.204376 1.100281 16.924000 16.634000
28.083334 1.102788 29.207942 1.109318 16.924000 16.634000
28.084355 1.097349 29.135440 1.107145 16.924000 16.634000
27.793035 1.096067 29.197665 1.109068 16.924000 16.633000
27.789795 1.102051 29.226349 1.103912 16.924000 16.634000
27.826466 1.102757 29.146693 1.100651 16.924000 16.634000
28.057800 1.104248 29.178375 1.108826 16.924000 16.539000
28.094640 1.106962 21.993425 1.107298 16.832000 16.634000
