72,96,128,160,192,256
24.33%,10.33%,9.22%,9.44%,11.33%,12.22%
26.89%,19.67%,21.33%,21.89%,10.56%,12.22%
35.22%,32.44%,24.89%,25.89%,13.00%,13.33%
30.78%,36.00%,23.56%,22.56%,11.56%,21.56%
33.00%,44.56%,28.33%,26.00%,11.33%,19.11%
44.33%,32.67%,23.89%,25.44%,14.33%,22.44%
44.78%,41.00%,26.33%,30.22%,22.78%,22.78%
39.00%,31.56%,27.56%,32.89%,26.56%,22.00%
52.33%,46.33%,38.11%,26.22%,24.22%,19.89%
52.11%,50.78%,46.89%,32.33%,21.56%,21.44%
46.67%,53.89%,44.00%,29.44%,23.56%,21.11%
48.22%,49.00%,44.22%,32.00%,26.00%,21.78%
54.00%,55.67%,41.33%,29.11%,23.44%,17.89%
58.00%,54.67%,40.44%,34.33%,19.78%,11.67%
62.67%,55.00%,44.67%,26.11%,21.67%,20.44%
65.44%,52.67%,33.78%,32.56%,23.44%,22.89%
51.56%,55.11%,37.67%,37.56%,20.00%,25.00%
63.22%,50.78%,33.00%,45.11%,26.89%,22.56%
67.89%,63.56%,52.22%,34.56%,22.67%,23.44%
64.89%,48.22%,50.00%,38.00%,27.22%,23.22%
67.00%,59.11%,42.33%,33.78%,28.67%,23.00%
63.89%,57.44%,50.78%,36.89%,33.89%,24.67%
69.78%,57.56%,53.78%,39.44%,25.67%,23.44%
67.67%,60.78%,57.44%,42.11%,29.78%,25.00%
68.67%,67.22%,54.33%,39.44%,25.67%,24.33%
73.22%,66.33%,55.78%,33.67%,27.11%,22.00%
70.56%,67.33%,59.33%,45.56%,18.78%,23.11%
72.33%,60.44%,61.44%,49.33%,31.44%,22.89%
67.56%,71.33%,57.11%,48.00%,32.44%,20.56%
71.44%,65.56%,57.00%,46.22%,34.11%,21.78%
74.56%,67.11%,54.78%,42.33%,33.33%,24.00%
75.22%,66.22%,58.11%,54.89%,36.67%,20.78%
74.67%,72.00%,50.22%,52.56%,35.89%,25.33%
75.56%,71.22%,47.67%,51.78%,34.00%,24.00%
75.44%,69.56%,49.89%,42.56%,39.22%,23.78%
76.11%,64.56%,58.11%,48.89%,40.67%,23.11%
75.44%,73.22%,64.33%,50.78%,35.89%,28.00%
75.78%,76.11%,60.67%,53.11%,29.67%,25.78%
75.11%,69.67%,62.78%,43.56%,36.44%,27.22%
74.89%,75.89%,49.67%,56.89%,38.33%,28.33%
75.33%,76.56%,68.00%,50.67%,31.67%,27.33%
74.67%,76.67%,67.00%,55.56%,34.78%,30.56%
75.22%,78.33%,64.56%,57.56%,36.22%,29.78%
75.33%,79.44%,64.44%,58.00%,33.00%,28.11%
75.67%,77.78%,54.44%,49.33%,25.22%,31.00%
75.67%,78.11%,63.11%,46.33%,41.33%,33.56%
75.44%,78.56%,52.78%,57.44%,45.22%,28.56%
74.67%,78.11%,42.11%,57.56%,44.11%,32.78%
75.11%,77.67%,58.11%,54.00%,41.11%,30.00%
75.11%,77.78%,69.33%,54.44%,42.00%,27.89%
