core_0_pkg core_0_ram core_6_pkg core_6_ram nvd_0 nvd_1
0.000017 0.000001 0.000025 0.000001 48.032000 47.351000
22.605138 1.089549 19.652633 1.097210 48.129000 47.351000
25.027729 1.069063 18.777290 1.099825 48.032000 47.351000
28.850474 1.016370 18.818097 1.104994 48.129000 47.351000
27.927647 1.103099 18.799840 1.104778 48.129000 47.351000
27.742027 1.108054 18.756869 1.107138 48.032000 47.351000
22.652314 1.096089 21.199101 1.109149 48.129000 47.351000
17.387664 1.098190 25.318226 1.105973 48.129000 47.351000
17.376211 1.100322 28.920944 1.103862 48.129000 47.351000
17.380053 1.111505 29.029764 1.106072 48.032000 47.351000
17.259888 1.098022 29.006866 1.105896 48.129000 47.351000
17.273698 1.098184 28.952166 1.101419 48.032000 47.351000
17.286324 1.102238 28.999292 1.103520 48.129000 47.351000
17.390237 1.095967 28.949265 1.103993 48.129000 47.351000
17.263967 1.100414 28.872878 1.099071 48.129000 47.351000
17.327738 1.104329 28.947129 1.107899 48.129000 47.351000
17.322693 1.093414 29.103607 1.091644 48.032000 47.351000
17.386936 1.102526 28.952245 1.099413 48.129000 47.351000
17.299406 1.104777 29.006692 1.101725 48.129000 47.351000
17.377452 1.100349 29.013285 1.094306 48.129000 47.351000
17.284458 1.096010 28.889706 1.105959 48.129000 47.351000
17.419861 1.102646 28.949807 1.103348 17.881000 47.378000
17.259241 1.106670 28.928709 1.102946 17.122000 16.638000
17.352237 1.104907 28.893773 1.103747 17.026000 16.543000
17.284778 1.104394 28.943949 1.105157 17.031000 16.549000
17.381252 1.107145 28.946689 1.103819 17.026000 16.543000
17.334493 1.095867 28.856307 1.103893 17.122000 16.543000
17.322610 1.100438 28.935144 1.099064 17.026000 16.543000
17.409180 1.100464 28.926086 1.099121 17.026000 16.542000
17.384583 1.098206 28.904480 1.103699 17.026000 16.549000
17.349188 1.102709 28.961933 1.101336 17.031000 16.447000
17.271405 1.095740 28.945395 1.103064 17.031000 16.638000
17.296348 1.095333 28.924475 1.101375 17.031000 16.638000
17.392212 1.102753 28.961212 1.106232 17.031000 16.638000
17.327972 1.100433 28.951569 1.105743 17.122000 16.638000
17.364288 1.100372 28.882538 1.094940 17.031000 16.549000
17.310571 1.100111 28.985303 1.102766 16.834000 16.638000
17.450723 1.099690 28.945450 1.108235 16.929000 16.447000
17.525418 1.100324 28.913677 1.099500 17.026000 16.447000
17.418584 1.109270 28.950641 1.090014 17.031000 16.549000
17.571124 1.095803 28.947345 1.098886 17.026000 16.638000
17.344747 1.108806 28.890639 1.100811 16.929000 16.447000
17.249696 1.100370 28.946367 1.108121 17.026000 16.447000
17.650859 1.104708 28.959548 1.109775 16.929000 16.543000
17.524056 1.104329 28.878587 1.101460 17.031000 16.638000
17.781687 1.104781 28.971557 1.110030 16.929000 16.638000
17.474713 1.106955 28.938533 1.105002 16.929000 16.543000
17.562826 1.106624 29.247258 1.098934 16.934000 16.638000
17.365552 1.108649 26.857095 1.107123 16.929000 16.638000
17.614828 1.102443 26.790878 1.105495 17.031000 16.644000
17.541754 1.104296 26.842318 1.107714 16.929000 16.638000
17.406564 1.100346 26.826615 1.106145 16.929000 16.543000
17.244747 1.099851 26.788307 1.098356 16.934000 16.638000
17.326813 1.098053 26.824005 1.107971 16.929000 16.638000
17.541687 1.099854 26.829193 1.104553 16.929000 16.644000
17.403141 1.107027 26.796288 1.099490 16.929000 16.638000
17.300836 1.099803 26.853002 1.102519 16.934000 16.644000
17.383130 1.098121 26.830361 1.105872 16.934000 16.834000
17.521310 1.093205 26.771469 1.102971 16.929000 16.734000
17.418409 1.109214 26.809264 1.105674 16.929000 16.638000
17.360077 1.106567 26.834381 1.106903 17.029000 16.447000
17.734280 1.100242 26.767520 1.102317 16.934000 16.549000
17.565675 1.104494 26.842259 1.100679 16.929000 16.549000
17.410226 1.109303 26.779517 1.105183 16.834000 16.644000
17.379935 1.108943 26.814712 1.099300 16.929000 16.644000
17.586074 1.102302 30.336058 1.106299 16.929000 16.448000
17.512787 1.102234 31.082764 1.100189 16.929000 16.549000
17.427338 1.095367 31.143463 1.101105 16.929000 16.638000
17.419420 1.104684 31.124761 1.102182 16.929000 16.543000
17.661697 1.097754 31.053378 1.096564 17.025000 16.638000
